# x_m,y_m
-6.075903,-4.259295
-9.921607,-1.06767
-13.767138,2.124164
-17.6125,5.316201
-21.4577,8.508435
-25.30274,11.700859
-29.147627,14.893468
-32.992365,18.086257
-36.83696,21.279218
-40.681416,24.472347
-44.525738,27.665637
-48.36993,30.859082
-52.213999,34.052677
-56.057948,37.246415
-59.901783,40.440291
-63.745509,43.634298
-67.58913,46.828431
-71.432652,50.022684
-75.276079,53.217051
-79.119416,56.411526
-82.962672,59.606099
-86.805861,62.800752
-90.648998,65.995468
-94.492099,69.190226
-98.335181,72.385008
-102.178258,75.579796
-106.021347,78.77457
-109.864463,81.969311
-113.707621,85.164001
-117.550838,88.358621
-121.394129,91.553151
-125.237509,94.747574
-129.080995,97.94187
-132.924602,101.136021
-136.768345,104.330007
-140.612241,107.52381
-144.456305,110.71741
-148.300552,113.91079
-152.144999,117.103929
-155.98966,120.29681
-159.834552,123.489413
-163.679691,126.68172
-167.525091,129.873711
-171.370768,133.065368
-175.216739,136.256672
-179.063019,139.447604
-182.909622,142.638144
-186.756566,145.828276
-190.603859,149.017985
-194.451509,152.207264
-198.299522,155.396104
-202.147906,158.584498
-205.996665,161.772438
-209.845808,164.959916
-213.695339,168.146923
-217.545267,171.333452
-221.395598,174.519494
-225.246337,177.705042
-229.097492,180.890087
-232.94907,184.074622
-236.801076,187.258639
-240.653517,190.442129
-244.5064,193.625084
-248.359731,196.807497
-252.213516,199.989359
-256.067764,203.170662
-259.922478,206.351398
-263.777667,209.53156
-267.633337,212.711138
-271.489495,215.890126
-275.346145,219.068515
-279.203297,222.246296
-283.060955,225.423462
-286.919126,228.600005
-290.777817,231.775917
-294.637033,234.95119
-298.49678,238.125818
-302.357064,241.299794
-306.217888,244.473111
-310.07926,247.645764
-313.941182,250.817745
-317.803662,253.989048
-321.666703,257.159666
-325.530312,260.329593
-329.394493,263.498823
-333.259251,266.667349
-337.124592,269.835163
-340.99052,273.002261
-344.857042,276.168634
-348.724162,279.334277
-352.591885,282.499183
-356.460216,285.663346
-360.329161,288.826758
-364.198724,291.989413
-368.068911,295.151305
-371.939727,298.312427
-375.811177,301.472773
-379.683267,304.632336
-383.556,307.791108
-387.429383,310.949085
-391.303421,314.106258
-395.178117,317.262622
-399.053486,320.41816
-402.929597,323.572787
-406.806547,326.726384
-410.684432,329.878831
-414.563348,333.030008
-418.443393,336.179796
-422.324662,339.328075
-426.207252,342.474724
-430.09126,345.619624
-433.976782,348.762655
-437.863889,351.903676
-441.750881,355.044675
-445.624332,358.202325
-449.449801,361.418063
-453.189108,364.733534
-456.801669,368.186424
-460.242223,371.810397
-463.459358,375.633672
-466.394366,379.677078
-468.9803,383.951647
-471.141774,388.455227
-472.788896,393.170445
-473.815386,398.057501
-474.113317,403.04235
-473.581238,408.007489
-472.188702,412.797251
-469.97557,417.253172
-467.008767,421.274988
-463.456448,424.791816
-459.445943,427.766088
-455.09225,430.217029
-450.493847,432.171015
-445.727198,433.669785
-440.851053,434.760812
-435.907292,435.490415
-430.926895,435.902834
-425.931418,436.042941
-420.935095,435.955109
-415.945535,435.684758
-410.965069,435.275431
-405.994993,434.75234
-401.037286,434.122828
-396.093856,433.389571
-391.166532,432.554941
-386.257004,431.621288
-381.366854,430.590939
-376.497545,429.466203
-371.65043,428.249364
-366.826756,426.942685
-362.02767,425.548401
-357.254217,424.068727
-352.507355,422.505848
-347.78795,420.86193
-343.096765,419.139102
-338.434607,417.339193
-333.80242,415.463523
-329.201151,413.513228
-324.631728,411.489439
-320.095052,409.39324
-315.592044,407.225672
-311.123574,404.987801
-306.69012,402.681266
-302.291746,400.308504
-297.928361,397.872034
-293.59976,395.374306
-289.305648,392.817753
-285.045722,390.204619
-280.819547,387.53723
-276.626395,384.818213
-272.465334,382.050331
-268.335347,379.2363
-264.235329,376.378776
-260.164102,373.480378
-256.120422,370.543668
-252.10298,367.571164
-248.110409,364.565336
-244.141286,361.528612
-240.194137,358.46338
-236.26744,355.371987
-232.359634,352.256761
-228.469126,349.120003
-224.594472,345.963658
-220.734572,342.789242
-216.888416,339.598187
-213.054936,336.391911
-209.233055,333.171811
-205.421685,329.939271
-201.619726,326.695662
-197.82607,323.442343
-194.039597,320.180661
-190.259186,316.911952
-186.483705,313.637546
-182.712022,310.358764
-178.942999,307.076922
-175.175499,303.793331
-171.408381,300.509299
-167.640506,297.226136
-163.870736,293.945148
-160.097936,290.667645
-156.320973,287.394942
-152.538718,284.128357
-148.750049,280.869216
-144.95385,277.618851
-141.149012,274.378605
-137.334424,271.149845
-133.508206,267.934951
-129.663013,264.743062
-125.781367,261.595703
-121.843577,258.518386
-117.835734,255.53248
-113.745772,252.660217
-109.562819,249.925426
-105.277835,247.353499
-100.884554,244.971862
-96.380014,242.80915
-91.763155,240.897773
-87.035245,239.279168
-82.204099,238.002626
-77.286278,237.122223
-72.309938,236.681208
-67.314964,236.706871
-62.347248,237.226503
-57.458403,238.252898
-52.704546,239.785788
-48.144174,241.822542
-43.845536,244.366332
-39.897283,247.426006
-36.400583,250.989477
-33.405142,254.985149
-30.903663,259.309244
-28.87381,263.87322
-27.288555,268.610079
-26.128559,273.469301
-25.37727,278.408654
-25.015184,283.391966
-25.022885,288.388406
-25.384549,293.372217
-26.086723,298.31977
-27.098063,303.213446
-28.374486,308.044782
-29.874561,312.811424
-31.563638,317.514512
-33.41623,322.155831
-35.409354,326.738695
-37.520577,331.268443
-39.728306,335.752027
-42.011616,340.19766
-44.350183,344.614546
-46.724712,349.012253
-49.11707,353.400284
-51.5093,357.788356
-53.883279,362.186268
-56.220534,366.603718
-58.502074,371.050068
-60.708086,375.534201
-62.817098,380.06468
-64.805732,384.649185
-66.64997,389.29347
-68.323163,394.002044
-69.792966,398.77804
-71.024454,403.620891
-71.983341,408.524885
-72.636722,413.478763
-72.953949,418.465281
-72.913003,423.461544
-72.540774,428.444591
-71.893283,433.399553
-71.008661,438.317682
-69.913908,443.193491
-68.627546,448.022412
-67.16725,452.801654
-65.550738,457.530399
-63.795302,462.209406
-61.917854,466.840836
-59.934641,471.428012
-57.860474,475.974811
-55.708689,480.485399
-53.491275,484.96407
-51.220623,489.415975
-48.915701,493.850273
-46.598797,498.278351
-44.280005,502.70544
-41.961251,507.132549
-39.642712,511.55977
-37.324439,515.98713
-35.006484,520.414657
-32.688901,524.842378
-30.371739,529.270321
-28.055074,533.698522
-25.739025,538.127047
-23.423734,542.555967
-21.109318,546.985345
-18.795769,551.415176
-16.482802,555.845311
-14.170019,560.275542
-11.857004,564.705652
