# a262b85f-d090-4bfc-aa27-752a7391c6dc,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
0,1.867959,-1.9421635,-1.4792029,-0.0000388,37.0573674,2.4741684,-0.0034114,-0.0130111,100
1.9996657,3.8592535,-1.759338,-1.4792773,-0.0000356,37.1906372,2.4631739,-0.0031346,-0.0119554,100
3.9993314,5.850558,-1.5766548,-1.4793457,-0.0000329,37.3228422,2.4522283,-0.0028956,-0.0110437,100
5.998997,7.8418686,-1.3941033,-1.4794092,-0.0000306,37.453996,2.4413313,-0.0026944,-0.0102765,100
7.9986627,9.8332,-1.2116732,-1.4794685,-0.0000287,37.5841125,2.4304828,-0.002525,-0.0096305,100
9.9983284,11.8245372,-1.0293578,-1.4795241,-0.0000269,37.7132048,2.4196824,-0.0023636,-0.0090148,100
11.9979941,13.8158796,-0.8471499,-1.4795761,-0.0000251,37.8412861,2.4089301,-0.0022102,-0.0084296,100
13.9976598,15.8072404,-0.6650413,-1.4796247,-0.0000236,37.9683689,2.3982255,-0.0020716,-0.007901,100
15.9973254,17.7986051,-0.4830269,-1.4796703,-0.0000221,38.094466,2.3875685,-0.0019396,-0.0073977,100
17.9969911,19.7899734,-0.3011008,-1.479713,-0.0000206,38.2195894,2.3769589,-0.0018144,-0.00692,100
19.9966568,21.7813582,-0.1192561,-1.4797529,-0.0000193,38.3437513,2.3663964,-0.001701,-0.0064877,100
21.9963225,23.7727454,0.0625112,-1.4797904,-0.0000181,38.4669633,2.3558808,-0.001593,-0.0060759,100
23.9959881,25.7641349,0.2442059,-1.4798254,-0.0000169,38.589237,2.345412,-0.0014906,-0.0056851,100
25.9956538,27.7555394,0.4258339,-1.4798582,-0.0000159,38.7105837,2.3349897,-0.0013978,-0.005331,100
27.9953195,29.7469451,0.6073981,-1.479889,-0.0000149,38.8310145,2.3246137,-0.0013093,-0.0049937,100
