x,y
1.59375,3.5
1.59375,7.125
1.78125,11.0625
2.53125,12.9375
3.46875,14.4375
5.90625,15.5625
8.71875,17.25
12.09375,18.375
15.09375,19.6875
19.03125,20.4375
21.65625,20.4375
24.15625,20.625
26.96875,20.8125
30.53125,21.0
33.71875,21.75
37.28125,23.0625
39.90625,24.1875
41.40625,25.875
43.09375,26.625
44.96875,26.0625
45.90625,24.5625
46.09375,22.875
45.53125,21.0
44.78125,19.6875
42.71875,18.9375
40.28125,18.1875
37.09375,17.8125
33.90625,17.4375
31.46875,17.0625
28.28125,16.875
25.09375,16.3125
21.46875,15.9375
18.28125,15.0
15.09375,13.6875
11.71875,11.625
9.46875,9.1875
7.96875,6.0
6.65625,2.5625
6.65625,-0.625
7.78125,-3.625
8.71875,-5.875
10.59375,-7.375
12.84375,-8.6875
14.90625,-9.4375
16.96875,-9.8125
19.40625,-10.1875
22.03125,-9.0625
23.59375,-7.75
25.28125,-4.5625
27.15625,-1.9375
28.46875,1.0625
30.15625,3.875
34.09375,4.8125
35.96875,3.6875
36.15625,1.8125
37.28125,-0.8125
37.65625,-4.0
38.21875,-7.0
37.28125,-9.625
36.53125,-12.625
34.65625,-14.125
32.59375,-15.4375
29.78125,-16.1875
26.59375,-17.125
23.96875,-17.3125
21.28125,-16.9375
19.03125,-15.625
16.78125,-14.3125
13.96875,-13.0
11.34375,-12.4375
8.90625,-12.4375
7.03125,-13.1875
5.15625,-14.125
3.28125,-13.375
2.34375,-11.125
2.15625,-9.0625
2.15625,-7.375
1.78125,-5.3125
1.78125,-2.5
-1.59375,3.3125
-1.78125,7.3125
-1.59375,11.8125
-0.8437500000000001,14.8125
1.21875,17.0625
2.90625,17.8125
4.03125,18.5625
7.59375,20.25
10.78125,21.5625
14.15625,23.0625
18.28125,23.625
21.46875,24.0
24.15625,24.0
26.78125,24.0
29.96875,24.375
32.78125,24.75
35.59375,25.6875
37.84375,27.0
40.09375,28.5
42.15625,29.625
44.78125,29.625
47.03125,28.6875
48.53125,27.375
49.28125,25.5
49.65625,22.875
48.90625,19.6875
46.84375,17.4375
44.21875,15.75
41.21875,15.0
37.46875,14.625
34.46875,14.0625
31.65625,13.875
28.46875,13.3125
25.28125,13.125
22.03125,12.5625
19.40625,11.625
16.40625,10.5
13.78125,8.625
12.28125,6.75
10.78125,4.25
10.03125,2.0
10.21875,-0.0625
10.96875,-2.5
12.28125,-4.1875
13.59375,-5.3125
15.46875,-6.0625
17.34375,-6.625
20.90625,-5.3125
22.21875,-3.25
23.96875,0.125
25.84375,2.9375
28.09375,6.1875
30.53125,7.5
32.96875,8.25
35.03125,7.875
37.65625,6.9375
38.96875,5.0625
39.90625,2.9375
40.65625,-0.25
41.40625,-3.4375
41.59375,-7.375
40.65625,-10.9375
39.15625,-14.3125
36.90625,-16.375
33.71875,-18.625
30.71875,-19.375
27.15625,-20.5
23.96875,-20.6875
20.71875,-20.125
17.53125,-18.625
15.84375,-17.6875
13.21875,-16.375
10.59375,-16.0
7.21875,-16.75
5.71875,-17.6875
3.65625,-18.25
1.96875,-17.6875
0.46875000000000006,-16.9375
-0.8437500000000001,-16.0
-1.59375,-14.125
-1.40625,-12.0625
-1.21875,-10.0
-1.21875,-7.1875
-1.03125,-5.125
-1.40625,-2.3125
-1.59375,0.5625
1.53125,0.8125
-1.53125,-0.75
1.59375,-0.625
