# 505354ca-1117-48f2-a79c-ec62487a6a90,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
0,144.4645148,-129.5424282,-2.2115084,0.0001059,47.49,0,0.0093096,0.0355067,100
1.9984371,146.066725,-130.7368572,-2.2112999,0.0001028,47.49,0,0.009043,0.03449,100
3.9968742,147.6691814,-131.9309578,-2.2110986,0.0000976,47.49,0,0.0085799,0.0327236,100
5.9953114,149.2718761,-133.1247507,-2.2109111,0.0000901,47.49,0,0.0079203,0.0302078,100
7.9937485,150.8747744,-134.3182516,-2.2107445,0.0000767,47.49,0,0.0067454,0.025727,100
9.9921856,152.4778594,-135.5115102,-2.2106062,0.0000601,47.49,0,0.0052815,0.0201436,100
11.9906227,154.0810933,-136.7045815,-2.2105061,0.0000401,47.49,0,0.003528,0.0134556,100
13.9890598,155.6844086,-137.8975192,-2.2104526,0.0000134,47.49,0,0.0011796,0.0044989,100
15.987497,157.2877612,-139.0904186,-2.2104541,-0.0000165,47.49,0,-0.0014471,-0.0055193,100
17.9859341,158.8910813,-140.2833763,-2.21052,-0.0000495,47.49,0,-0.0043529,-0.0166021,100
19.9843712,160.4942677,-141.4764851,-2.2106569,-0.0000875,47.49,0,-0.0076973,-0.0293574,100
21.9828083,162.0972519,-142.6698794,-2.2108705,-0.0001269,47.49,0,-0.0111614,-0.0425698,100
23.9812454,163.6999415,-143.8636865,-2.2111648,-0.0001677,47.49,0,-0.0147457,-0.05624,100
25.9796826,165.3022156,-145.0580175,-2.2115387,-0.0002065,47.49,-4.0098459,-0.0181656,-0.0692835,0
27.9781197,166.9040047,-146.2530153,-2.211989,-0.0002428,47.3209599,-10.1190792,-0.0213524,-0.0814379,0
29.9765568,168.5052236,-147.4487968,-2.2125077,-0.0002763,46.8916684,-10.0480001,-0.0243036,-0.0926941,0
31.9749939,170.1057652,-148.6454455,-2.2130881,-0.0003045,46.4614676,-9.9810086,-0.0267768,-0.1021268,0
33.973431,171.7055879,-149.8430744,-2.2137235,-0.0003302,46.0301546,-9.917951,-0.0290451,-0.110778,0
35.9718682,173.3046311,-151.0417669,-2.2144069,-0.0003537,45.5975255,-9.8603072,-0.0311068,-0.1186413,0
37.9703053,174.9028061,-152.2415707,-2.2151333,-0.0003733,45.1633028,-9.805474,-0.0328279,-0.1252057,0
39.9687424,176.5000967,-153.4425742,-2.2158979,-0.0003912,44.7273147,-9.753349,-0.0344014,-0.1312071,0
41.9671795,178.0964613,-154.6448357,-2.2166958,-0.0004073,44.2893866,-9.7056782,-0.0358258,-0.1366397,0
